,utterance,request,importance
0,bought product could modify fucking purchase,change_order,high_priority
1,changed mind remove user account,delete_account,standard_priority
2,want know cvan get bill,get_invoice,medium_priority
3,tell package delivery,track_order,medium_priority
4,set different shipping address,set_up_shipping_address,medium_priority
5,ask agent notify fucking problems paying please,payment_issue,medium_priority
6,please ask agent could notify issue making payment,payment_issue,high_priority
7,track order,track_order,medium_priority
8,would possible set another shipping address,set_up_shipping_address,medium_priority
9,want know user account deletions,delete_account,medium_priority
10,wan na track delivery tell,track_order,standard_priority
11,want know request invoice,get_invoice,standard_priority
12,help changing diffreent profile,switch_account,medium_priority
13,got error message attempted make payment charged anyway help report,payment_issue,standard_priority
14,know check long delivery takes,delivery_period,standard_priority
15,problem trying pay inform,payment_issue,standard_priority
16,tell register two profiles email,create_account,medium_priority
17,got make reclamation ur commpany,complaint,high_priority
18,got error message attempted pay charged anyway inform,payment_issue,standard_priority
19,changed mind help cancel online account,delete_account,standard_priority
20,want check package tell,track_order,standard_priority
21,want check hours customer service available,contact_customer_service,medium_priority
22,tell changing order,change_order,standard_priority
23,concert cancelled want request reimbursement,get_refund,standard_priority
24,ask agent retrieve account password,recover_password,high_priority
25,discontent service file complaint,complaint,standard_priority
26,show options delivery offer,delivery_options,medium_priority
27,ive got account help register,create_account,high_priority
28,find information user account deletion,delete_account,medium_priority
29,online account,create_account,medium_priority
30,issue payment,payment_issue,medium_priority
31,user account create one,create_account,medium_priority
32,understand talk human agent,contact_human_agent,standard_priority
33,madea mistake help chnage order,change_order,standard_priority
34,want information call customer support,contact_customer_service,medium_priority
35,forgot account password recover,recover_password,medium_priority
36,want use account switch,switch_account,standard_priority
37,would like track order,track_order,medium_priority
38,error message popswhen try make payment order,payment_issue,standard_priority
39,check packages,track_order,medium_priority
40,want see bill tell,get_invoice,standard_priority
41,would possible find invoices last month,check_invoice,standard_priority
42,could help check money back policy,check_refund_policy,medium_priority
43,account create one,create_account,standard_priority
44,help check package,track_order,medium_priority
45,wan na know create one profile email address,create_account,high_priority
46,u show information invoice,check_invoices,high_priority
47,helping help speak human agent,contact_human_agent,medium_priority
48,tell email contact customer service,contact_customer_service,medium_priority
49,discontent service make complaint,complaint,standard_priority
50,ask agent theres newsletter receive,newsletter_subscription,medium_priority
51,checking order eta,track_order,medium_priority
52,anna notify issue paying,payment_issue,medium_priority
53,switch another profile,switch_account,medium_priority
54,ask agent delete user account,delete_account,medium_priority
55,want view reimbursement policy,check_refund_policy,standard_priority
56,want knoe create two profiles single email address,create_account,standard_priority
57,purchased product modify order,change_order,standard_priority
58,checkmy biklls,check_invoices,medium_priority
59,know edit account,edit_account,standard_priority
60,mail address customer support,contact_customer_service,medium_priority
61,see invoice,check_invoices,medium_priority
62,could help solve issues payments,payment_issue,medium_priority
63,want refund help get one,get_refund,standard_priority
64,could ask agent notify payment problem,payment_issue,medium_priority
65,check invoices,check_invoice,medium_priority
66,error message pops try make payment order,payment_issue,high_priority
67,concert cancelled obtain reimbursement,get_refund,standard_priority
68,problem paying order,payment_issue,high_priority
69,question speak customer service,contact_customer_service,medium_priority
70,customer service mail,contact_customer_service,medium_priority
71,wan na see cancellation penalty,check_cancellation_fee,high_priority
72,ask agent notify problems making payment,payment_issue,high_priority
73,problem paying order notify,payment_issue,standard_priority
74,dont bloody account want assistance tp sign,create_account,high_priority
75,online account open one,create_account,standard_priority
76,could help register,create_account,medium_priority
77,want know create one profile asme email,create_account,standard_priority
78,lost bill check,check_invoices,standard_priority
79,help checking allowed payment methods,check_payment_methods,medium_priority
80,want information speak customer support,contact_customer_service,high_priority
81,problem trying pay online order,payment_issue,high_priority
82,want check cancellation penalty,check_cancellation_fee,standard_priority
83,would like check status refund,track_refund,standard_priority
84,understand need help talking human agent,contact_human_agent,standard_priority
85,want view ticket delivery options,delivery_options,standard_priority
86,want user account create one,create_account,standard_priority
87,online account create one,create_account,standard_priority
88,want see free phone number customer support,contact_customer_service,medium_priority
89,view status order,track_order,medium_priority
90,information tell obtaining nivoice,get_invoice,medium_priority
91,got error message tried make payment charged anyway notify,payment_issue,standard_priority
92,account hacked want recover,recover_password,standard_priority
93,want help filing complaint business,complaint,medium_priority
94,know sign company newsletter,newsletter_subscription,high_priority
